class_id,class_name,precision,recall,mask_AP50,mask_AP50_95
268,vegetarian-carrot-potato,0.0,0.0,0.017767857142857137,0.017767857142857137
320,vegetarian-teatreemushroom,1.0,0.0,0.014632352941176468,0.01316911764705882
199,meatveg-pork-shiitakemushroom,1.0,0.0,0.014558823529411766,0.01310294117647059
109,meatveg-chicken-cucumber,1.0,0.0,0.010815217391304349,0.010815217391304349
113,meatveg-chicken-zucchini,1.0,0.0,0.012594936708860761,0.010075949367088608
164,meatveg-pigtrotters-soybean,0.0,0.0,0.09426470588235294,0.010008823529411764
327,vegetarian-tofudry,1.0,0.0,0.016861497484462862,0.009660106540396568
324,vegetarian-tofu-chili,1.0,0.0,0.01053191489361702,0.009478723404255318
34,guava,1.0,0.0,0.03807692307692308,0.00524247491638796
286,vegetarian-eggplant-potato,1.0,0.0,0.014632352941176468,0.0029264705882352934
177,meatveg-pork-chives,1.0,0.0,0.009476190476190478,0.0009476190476190478
108,meatveg-chicken-cilantro,1.0,0.0,0.0,0.0
120,meatveg-egg-carrot-woodearmushroom,1.0,0.0,0.0,0.0
126,meatveg-egg-cucumber-carrot,1.0,0.0,0.0,0.0
127,meatveg-egg-greens,1.0,0.0,0.0,0.0
129,meatveg-egg-potato,1.0,0.0,0.0,0.0
130,meatveg-egg-scallion,1.0,0.0,0.0,0.0
141,meatveg-frankfurter-chinesecabbage-broccoli,1.0,0.0,0.0,0.0
148,meatveg-mincedmeat-cucumber,1.0,0.0,0.0,0.0
154,meatveg-mincedmeat-scallion,1.0,0.0,0.0,0.0
155,meatveg-mincedmeat-shiitakemushroom,1.0,0.0,0.0,0.0
159,meatveg-mincedmeat-tomato-potato,1.0,0.0,0.0,0.0
181,meatveg-pork-driedtofu,1.0,0.0,0.0,0.0
192,meatveg-pork-lentils,1.0,0.0,0.0,0.0
202,meatveg-pork-tofu,0.0,0.0,0.0,0.0
204,meatveg-pork-tofuskinroll-greenpepper,1.0,0.0,0.0,0.0
208,meatveg-pork-woodearmushroom-garlicscapes,1.0,0.0,0.0,0.0
219,meatveg-spareribs-carrot,1.0,0.0,0.0,0.0
263,vegetarian-carrot-broccoli,1.0,0.0,0.0,0.0
273,vegetarian-celery,1.0,0.0,0.0,0.0
299,vegetarian-parsley,1.0,0.0,0.0,0.0
303,vegetarian-potato-fried,1.0,0.0,0.0,0.0
325,vegetarian-tofu-panfried,1.0,0.0,0.0,0.0
